candidate_id,wavelength_nm,target_cp_power,same_spin_leakage_power,conversion_to_leakage_ratio,L_fraction_under_R_in,R_fraction_under_R_in,DoCP_RminusL,total_power,status,fsp_path,extraction_ok,candidate_role
BW2_J1J2_D194_T90_PSI97_H525,447.0,0.742510027913,0.032496678205,22.8487977519,0.958069165146,0.041930834854,-0.916138330292,0.775006706118,PASS,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_saved_fsp_dense_lite\BW2_J1J2_D194_T90_PSI97_H525\BW2_J1J2_D194_T90_PSI97_H525_447NM_XIN.fsp;D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_saved_fsp_dense_lite\BW2_J1J2_D194_T90_PSI97_H525\BW2_J1J2_D194_T90_PSI97_H525_447NM_YIN.fsp,true,B4INT baseline reference
BW2_J1J2_D194_T90_PSI97_H525,447.5,0.372847793907,0.0357187083584,10.4384455946,0.912575533823,0.0874244661771,-0.825151067646,0.408566502265,BORDERLINE,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_saved_fsp_dense_lite\BW2_J1J2_D194_T90_PSI97_H525\BW2_J1J2_D194_T90_PSI97_H525_447p5NM_XIN.fsp;D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_saved_fsp_dense_lite\BW2_J1J2_D194_T90_PSI97_H525\BW2_J1J2_D194_T90_PSI97_H525_447p5NM_YIN.fsp,true,B4INT baseline reference
BW2_J1J2_D194_T90_PSI97_H525,448.0,0.267805154613,0.0294288860722,9.10007786078,0.90099086227,0.0990091377298,-0.80198172454,0.297234040685,BORDERLINE,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_saved_fsp_dense_lite\BW2_J1J2_D194_T90_PSI97_H525\BW2_J1J2_D194_T90_PSI97_H525_448NM_XIN.fsp;D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_saved_fsp_dense_lite\BW2_J1J2_D194_T90_PSI97_H525\BW2_J1J2_D194_T90_PSI97_H525_448NM_YIN.fsp,true,B4INT baseline reference
BW2_J1J2_D194_T90_PSI97_H525,448.5,0.536026961188,0.0173618791421,30.8737871518,0.968626257205,0.0313737427949,-0.93725251441,0.55338884033,PASS,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_saved_fsp_dense_lite\BW2_J1J2_D194_T90_PSI97_H525\BW2_J1J2_D194_T90_PSI97_H525_448p5NM_XIN.fsp;D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_saved_fsp_dense_lite\BW2_J1J2_D194_T90_PSI97_H525\BW2_J1J2_D194_T90_PSI97_H525_448p5NM_YIN.fsp,true,B4INT baseline reference
BW2_J1J2_D194_T90_PSI97_H525,449.0,0.930748584293,0.00632747527474,147.096360536,0.993247639602,0.00675236039821,-0.986495279204,0.937076059568,PASS,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_saved_fsp_dense_lite\BW2_J1J2_D194_T90_PSI97_H525\BW2_J1J2_D194_T90_PSI97_H525_449NM_XIN.fsp;D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_saved_fsp_dense_lite\BW2_J1J2_D194_T90_PSI97_H525\BW2_J1J2_D194_T90_PSI97_H525_449NM_YIN.fsp,true,B4INT baseline reference
BW2_J1J2_D194_T90_PSI97_H525,449.5,1.10198225817,0.00130068652325,847.231241716,0.998821076199,0.00117892380146,-0.997642152397,1.1032829447,PASS,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_saved_fsp_dense_lite\BW2_J1J2_D194_T90_PSI97_H525\BW2_J1J2_D194_T90_PSI97_H525_449p5NM_XIN.fsp;D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_saved_fsp_dense_lite\BW2_J1J2_D194_T90_PSI97_H525\BW2_J1J2_D194_T90_PSI97_H525_449p5NM_YIN.fsp,true,B4INT baseline reference
BW2_J1J2_D194_T90_PSI97_H525,450.0,0.952912154469,0.00322235011076,295.719621306,0.996629815057,0.00337018494294,-0.993259630114,0.95613450458,PASS,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_saved_fsp_dense_lite\BW2_J1J2_D194_T90_PSI97_H525\BW2_J1J2_D194_T90_PSI97_H525_450NM_XIN.fsp;D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_saved_fsp_dense_lite\BW2_J1J2_D194_T90_PSI97_H525\BW2_J1J2_D194_T90_PSI97_H525_450NM_YIN.fsp,true,B4INT baseline reference
BW2_J1J2_D194_T90_PSI97_H525,450.5,0.904101563551,0.0045963705594,196.699015422,0.994941805867,0.00505819413346,-0.989883611733,0.90869793411,PASS,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_saved_fsp_dense_lite\BW2_J1J2_D194_T90_PSI97_H525\BW2_J1J2_D194_T90_PSI97_H525_450p5NM_XIN.fsp;D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_saved_fsp_dense_lite\BW2_J1J2_D194_T90_PSI97_H525\BW2_J1J2_D194_T90_PSI97_H525_450p5NM_YIN.fsp,true,B4INT baseline reference
BW2_J1J2_D194_T90_PSI97_H525,451.0,0.983776288919,0.00515829738699,190.717249339,0.994783985252,0.00521601474801,-0.989567970504,0.988934586306,PASS,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_saved_fsp_dense_lite\BW2_J1J2_D194_T90_PSI97_H525\BW2_J1J2_D194_T90_PSI97_H525_451NM_XIN.fsp;D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_saved_fsp_dense_lite\BW2_J1J2_D194_T90_PSI97_H525\BW2_J1J2_D194_T90_PSI97_H525_451NM_YIN.fsp,true,B4INT baseline reference
BW2_J1J2_D194_T90_PSI97_H525,451.5,1.05061037747,0.00620588654889,169.292552997,0.994127752609,0.00587224739076,-0.988255505218,1.05681626402,PASS,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_saved_fsp_dense_lite\BW2_J1J2_D194_T90_PSI97_H525\BW2_J1J2_D194_T90_PSI97_H525_451p5NM_XIN.fsp;D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_saved_fsp_dense_lite\BW2_J1J2_D194_T90_PSI97_H525\BW2_J1J2_D194_T90_PSI97_H525_451p5NM_YIN.fsp,true,B4INT baseline reference
